"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.440410844716,2144.75919785905,39.3862290090977,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245.52959075711,11074.6914841036,11912.5439921153,8761.1039869236,4219.69820395771,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15047.7727421357,12226.870456231,8965.73794898007,14393.8764196884,4462.66494265239,11758.6281438592,14461.8110477152,256.267189770748,0,0,0,0,7218.02609790174,0,0
0,0,0,65.2731775054422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570.67466842731,13593.0324748635,15076.9268541997,11832.693804396,3655.75816529898,13957.0473343148,10241.7455381161,14399.8659404531,16744.8836747413,8189.87227309016,3336.81236680662,384.400784656122,0,0,8188.40529706717,2871.25900027031,0
0,49.9147827982794,3678.33553236551,21236.8202813295,3801.74958331564,6.75008266479109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9658.34118598428,19357.9279571044,10411.5359121569,49619.4681845041,1413.89936144306,14690.0114238076,14340.0859454856,11384.1795576726,10109.8603525627,16699.2975551176,26067.5498545938,11276.2409736451,9983.7426014854,1243.96365034551,0,0,1900.87980110488,17719.3900340756,0
0,20729.9659166335,18218.895721372,25128.3846650632,11192.5373162375,5319.06513985538,4500.68672504497,1126.01603608906,436.01372826005,552.19529715557,21.2780190170258,0,32.3429618123775,32.3429618123775,0,0,0,0,0,0,6358.99450298054,19222.8835612158,31599.9308821097,8970.91141621665,32114.8087544471,5736.64063000485,15366.5134340648,6959.61133229027,12680.4027147594,4462.98805791309,16693.6194532627,9312.67694891181,8680.99411765119,12087.2691175203,7111.41451613827,245.589390196967,5410.19635699081,518.421763937694,25229.8591783011,0
0,15181.0869186336,20739.303364938,31088.1256509484,21385.452468302,8052.84861909577,6807.40308629511,8898.06657089927,8779.53856710042,5309.14888096838,4851.38833588188,421.304776537111,1489.95956564778,226.400732686643,0,0,0,0,0,2068.04334840963,31377.5803947775,12359.1845847939,14330.5651143686,22481.7942064546,29626.6754184008,11614.5320195215,16210.415267211,3691.36486236381,7480.75817883163,28448.6464516269,10383.5307773731,9509.18926412195,7688.57306071216,4329.84772716827,10320.0932880595,9796.88110894423,6505.64042564367,4080.90978279159,49569.0963518888,0
0,18508.3820039571,17186.9238245765,17119.4832617659,11221.0103204869,8802.10779488758,12006.5224996499,10155.3100397656,10252.6723286004,8428.79701979555,6557.88546104735,3434.27226934796,1800.85377653066,3040.23841036349,936.74925047076,82.7257253241162,0,0,322.891526517489,7349.62617501712,23621.7375347742,15997.1024375736,18447.8486428765,92027.6914046373,13543.9136075522,8246.77294291468,13627.1889632865,14168.7570469812,17039.2896234355,19996.2524869479,22656.6146729726,23621.2920399716,16305.326860906,2153.88185040107,3253.18100889843,8279.30792111616,3735.2510780716,7231.31896364374,16642.6679089742,0
0,6306.51381022337,6649.14724986155,11533.8355587765,11629.3330320423,7917.84696579994,51990.2193318591,26160.154840117,10795.6428675546,7192.37328273885,6230.20396818515,3787.48738503059,3476.82830738201,14099.8257525168,1157.68289354196,643.45314033509,827.257253241162,41.3628626620581,1216.9886669914,8847.22318832853,9755.72660786542,15512.7126137983,5422.08496556186,14616.2872591664,5574.0911951841,3440.89663493239,19547.8885749093,37987.5296367246,21886.9524175184,23556.1401464882,47047.3459695195,7066.93198345062,8987.2883967628,5176.44465349871,13323.220021939,18487.7249930714,6308.97940972771,9918.99821436932,13847.4426437662,0
0,3303.86384374089,6591.08594732945,3853.06876721706,4765.55836134251,4944.43555195947,7420.03533645088,10360.4533201071,7325.59148947065,9426.16242454242,10404.9512993256,12422.1075021397,4740.74263699335,4418.69295241909,1783.48332279682,533.171021551349,846.493697028712,1530.42591849615,1051.79850769233,5619.44034165961,4461.28018712198,4154.01320734669,4716.40931280532,16524.7278879133,5102.99681658314,11310.8310886584,27225.2194204863,24069.9302986509,22717.1666305617,17943.8120650727,29967.2588730819,2209.89820450629,7340.4301169266,15538.7177294458,7079.53531156595,10242.4592513478,15898.3729664117,3033.57687558427,20894.4702470076,0
0,1726.52417015201,2087.77937126758,1306.50430210202,2666.28265259248,2647.48799726339,7470.32553643904,5259.99650782367,4477.40069810845,4566.26288105373,3902.38868772253,2191.63595875366,2865.9481943359,3773.52999118893,4029.00895719903,4195.34418937697,586.793735738849,424.912781440263,6564.87720250665,6476.24249680224,9478.0045299916,3634.02293388082,6429.21951593372,103369.187958565,23718.7433449013,16287.3268479257,32936.5744686,14412.194589189,13578.8486155528,39096.0710907679,28003.6640326917,18150.9482007278,10926.6282041721,2657.58945799571,5642.40290915562,3236.86436481341,6298.22632859575,6407.72163325076,21228.5581415537,22.7629410695399
0,7102.75269998885,3635.24435825977,3367.25441384844,2397.19546010127,5614.59750105765,8307.92356614777,8790.79880521275,5238.89032112304,2310.792865249,2395.9049413171,563.130624007118,1347.3900337147,1425.26814236282,1118.87845990741,2000.64320925135,5040.88161961484,397.356387980638,6251.68355723566,691.3507044944,5306.15353659346,18342.3194150473,9211.19345900661,27011.2809329283,40675.0695055632,10774.373791781,30036.5822664287,15311.9596554653,6602.1862000482,18520.7755620013,29496.8614526647,11703.930886167,6677.13823889106,6920.15499724469,9861.11082835953,9259.05800281583,7449.01062438896,10052.1567526635,7024.83162940813,12246.4622954125
0,4207.86041469209,1631.08816074663,786.624077523195,677.83780677121,1881.54568878899,6782.43625067149,8251.00182557024,3417.89964852155,617.062551493748,879.812591811104,689.11122590338,969.658916559288,692.847222594501,373.438159672674,961.048008139218,1603.28682127071,5244.18023672121,1697.47773096182,1458.00798956266,5603.17443625316,37438.5324613491,14124.1324653171,20318.0649617253,28066.1668807243,36839.829232999,26004.5153640743,6951.67179808266,24379.3408558762,5915.29945849819,10201.7712413307,16676.1438437953,6744.94262197175,8948.96571952909,13543.888398103,28511.2795185359,9104.31837133497,9847.54052580616,7630.59353724295,10477.2670740713
0,3419.08604593133,4089.28840300661,1905.82818782274,675.786968595145,1002.37850890904,4853.14346933385,3933.36435264962,2159.52826240059,353.215115682628,614.465825991276,910.214441483264,2794.82511199028,468.977751898616,3058.79532454755,748.508544800737,3091.06306464008,332.670464355883,4591.7169235686,3673.47362997613,11944.683401288,9245.18467259662,20757.7051430696,4588.05041864189,18487.848843249,18643.3821035001,15251.5148576639,6075.6798031331,21899.5470022465,18055.9950835879,19542.3461765811,16515.1657787125,8917.39322106841,17083.3366240708,22815.7873103616,11570.721060213,15641.9228123941,5325.35600588983,12369.0066770371,10847.0739390814
0,15221.7976191971,3123.30521014816,6441.07413901514,2303.55765438866,5736.83742979491,3888.49707866502,2161.10703025806,2033.73319280316,102.134491281724,358.727663272022,163.371822830329,670.991415195996,223.441798633305,417.8061371959,296.239117067883,549.830350810418,1233.6529719864,1249.49448312642,4714.38614600489,12195.8982503511,15767.671895636,132292.835063576,28540.0099521489,24967.4813588895,22052.5118215036,13620.3461352316,16665.1985243787,17061.538865833,25867.2221181459,22333.4458286645,9619.74193769584,19001.3930784054,9497.62490581652,10581.862935701,25535.1394791073,47798.7369687001,9064.9179057774,12570.4141539406,42235.839147001
0,1329.98015041401,3683.8780735317,3656.05422101257,1466.64587285701,3384.85386492861,3065.93038894742,3036.01887295769,1131.87531313416,145.867698955651,210.049486496138,1190.28042347811,13203.9441094656,7718.84258929554,739.195473500439,149.138918493265,571.714259507113,361.660669302672,3881.29084092292,5981.35636906061,6781.34231650678,22932.8201934605,17752.659997781,6365.47791268389,16956.7527048359,13925.8259339996,18386.9067259947,20830.8896697319,24258.6260411523,28009.2959926768,9364.57710755985,7098.46824386793,25473.3982593363,6491.64106010689,11085.5876875419,18611.8193420966,8638.25151732959,13503.8563409435,27326.1196605212,31028.2378504651
