"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5473615562064,519.182109665379,923.78609857702,42.9667952826521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.83397641326,3548.34117709235,5292.07695231331,5037.85674689096,4379.03255255696,3444.99970174853,431.535740968696,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.965623463223,5574.55555405974,7941.69599474353,13910.4999727586,7665.99239167984,2112.40709093997,6317.72883977154,5459.61507550461,1051.76325801745,0,0,0,0,0,0,0,491.83603245371,3615.65948182187,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14782.9477790482,6678.90531502659,5571.36112165055,3043.48133252119,4006.65366010731,1065.75919234471,5567.37886868166,6083.86707747029,14160.8857805421,944.985262279634,10.6777995737812,0,0,0,0,0,239.271583355859,4812.01739860116,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.9940214718648,7265.48285731631,5872.58200124122,9435.32841200615,7954.33218985207,3806.14194878826,10.741698820663,9098.21890110158,7099.63340332695,6785.33171654726,7736.78478806745,9564.94813476617,3571.7239574298,4703.57071225061,405.756383803685,165.505893393608,0,0,0,26.5857314839843,4200.54557446952,0,0
0,0,0,1290.10515540168,8527.74866115219,641.21297902405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6647.41347106534,6592.41935755084,9792.52587083918,15384.9049329299,7671.45396109699,167.98804294373,8238.81323304073,7404.44942295259,7486.96407800212,7299.03193708906,6956.53584583871,7100.4663694915,10159.7983143373,11667.1656175238,10825.9143049973,6315.91844789157,2119.54321539556,272.28388913142,0,0,0,53.1714629679687,11458.4502695972,0,0
0,172.781940455582,3087.03733613974,3282.85686865607,15857.5425351457,15450.9666652991,809.543817463698,378.004629228301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8290.36261231106,5334.42901090662,12139.9505583262,4160.20097909923,31345.0665387723,7559.46193246783,160.988541154408,8223.59356529392,3231.53633276011,8454.75311966307,2286.06344228343,1717.62581109251,9834.47241260239,6453.0890160834,9966.53121798509,12022.852064555,4687.55401288994,6876.50292551508,1932.68172285439,0,0,0,0,16004.6103533586,0,0
