Gerrymandering New Mexico,,,,,,,
,,,,,,,
,,Current (2012) County Assignment (z_ij),,,Difference in Democratic and Republican Votes (D_j - R_j),,
County Num,County,District 1,District 2,District 3,Scenario 1,Scenario 2,Scenario 3
1,Bernalillo,1.00,0.00,0.00,42941,43411,11336
2,Catron,0.00,1.00,0.00,-917,18,-716
3,Chaves,0.00,1.00,0.00,-6650,-6244,-6436
4,Cibola,0.00,1.00,0.00,1941,1449,1025
5,Colfax,0.00,0.00,1.00,116,-871,-1099
6,Curry,0.00,0.00,1.00,-5194,-4241,-5093
7,DeBaca,0.00,1.00,0.00,-299,223,567
8,Dona Ana,0.00,1.00,0.00,9790,8856,8251
9,Eddy,0.00,1.00,0.00,-6436,-6787,-6736
10,Grant,0.00,1.00,0.00,1723,1993,1121
11,Guadalupe,0.00,1.00,0.00,870,260,183
12,Harding,0.00,0.00,1.00,-66,-349,-286
13,Hidalgo,0.00,1.00,0.00,99,510,1014
14,Lea,0.00,1.00,0.00,-8412,-7585,-8062
15,Lincoln,0.00,1.00,0.00,-3009,-2233,-1678
16,Los Alamos,0.00,0.00,1.00,395,-347,1984
17,Luna,0.00,1.00,0.00,-81,233,-371
18,McKinley,0.00,0.00,1.00,9943,9995,9711
19,Mora,0.00,0.00,1.00,1361,1780,975
20,Otero,0.00,1.00,0.00,-5504,-5578,-5135
21,Quay,0.00,0.00,1.00,-812,-992,-942
22,Rio Arriba,0.00,0.00,1.00,8016,7948,44329
23,Roosevelt,0.00,1.00,0.00,-2313,-2665,-2263
24,Sandoval,0.00,0.00,1.00,2707,1984,5668
25,San Juan,0.00,0.00,1.00,-13091,-13942,-13488
26,San Miguel,0.00,0.00,1.00,6473,7008,7571
27,Santa Fe,0.00,0.00,1.00,34523,34516,12145
28,Sierra,0.00,1.00,0.00,-965,-658,-173
29,Socorro,0.00,1.00,0.00,1285,1491,3004
30,Taos,0.00,0.00,1.00,9145,9779,10226
31,Torrance,1.00,0.00,0.00,-1107,-1980,-2245
32,Union,0.00,0.00,1.00,-760,-606,-1368
33,Valencia,0.00,1.00,0.00,685,-304,909
