name,ISALA KLINIEKEN (WEEZENLANDEN),TALMA SIONSBERG ZIEKENHUIS,SPAARNE GASTHUIS (HAARLEM),SLINGELAND ZIEKENHUIS,ST. JANS GASTHUIS,ZUYDERLAND MEDISCH CENTRUM (SITTARD),FLEVO ZIEKENHUIS,OLVG WEST,NOORDWEST ZIEKENHUISGROEP (DEN HELDER),OMMELANDER ZIEKENHUIS GROEP (DELFZICHT),MAXIMA MEDISCH CENTRUM (EINDHOVEN),HET LANGELAND ZIEKENHUIS,NIJ SMELLINGHE ZIEKENHUIS,RODE KRUIS ZIEKENHUIS,ALEXANDER MONRO ZIEKENHUIS,ERASMUS MC,ZGT (ALMELO),DIAKONESSENHUIS (UTRECHT),DIAKONESSENHUIS (MEPPEL),MUMC+,OLVG OOST,SKB  WINTERSWIJK,AMPHIA ZIEKENHUIS (LANGENDIJK),BRAVIS ZIEKENHUIS (ROOSENDAAL),ANTONIUS ZIEKENHUIS (SNEEK),MILITAIRE BLOEDBANK,MARTINI ZIEKENHUIS,ZUYDERLAND MEDISCH CENTRUM (HEERLEN),ALRIJNE ZIEKENHUIS (ALPHEN),MEDISCH CENTRUM ALKMAAR,SPIJKENISSE MEDISCH CENTRUM,REFAJA ZIEKENHUIS,AMPHIA ZIEKENHUIS (MOLENGRACHT),RADBOUD UMC,MEANDER MEDISCH CENTRUM,MAASSTAD ZIEKENHUIS,ELKERLIEK ZIEKENHUIS,ALBERT SCHWEITZER ZIEKENHUIS (DORDWIJK),ANTONI VAN LEEUWENHOEK ZIEKENHUIS,SPAARNE GASTHUIS (HOOFDDORP),REINIER DE GRAAF GROEP,MAXIMA MEDISCH CENTRUM (VELDHOVEN),GRONINGEN UMC,BOVENIJ ZIEKENHUIS,MEDISCH CENTRUM HAAGLANDEN (WESTEINDE),ZAANS MEDISCH CENTRUM,ST ANTONIUS ZIEKENHUIS (NIEUWEGEIN),GELDERSE VALLEI,LEIDS UNIVERSITAIR MEDISCH CENTRUM,UNIVERSITAIR MEDISCH CENTRUM UTRECHT,GELRE ZIEKENHUIZEN (APELDOORN),DEVENTER ZIEKENHUISGROEP,IJSSELLAND ZIEKENHUIS,DIJKLANDER ZIEKENHUIS (HOORN),SAXENBURGH GROEP RÖPKE-ZWEERS ZIEKENHUIS,GROENE HART ZIEKENHUIS (BLEULAND),ZIEKENHUIS RIJNSTATE,MAASZIEKENHUIS PANTEIN,ST JANSDAL ZIEKENHUIS (LELYSTAD),HAAGLANDEN MEDISCH CENTRUM (ANTONIUSHOVEN),ALBERT SCHWEITZER ZIEKENHUIS (ZWIJNDRECHT),VAN WEEL-BETHESDA ZIEKENHUIS,VIECURI MEDISCH CENTRUM,SINT MAARTENSKLINIEK,JEROEN BOSCH ZIEKENHUIS,TJONGERSCHANS ZIEKENHUIS,SINT FRANCISCUS GASTHUIS,HAAGLANDEN MEDISCH CENTRUM (BRONOVO),VU MEDISCH CENTRUM,IKAZIA ZIEKENHUIS,BEATRIX ZIEKENHUIS,"ALYSIS ZORGGROEP, ZIEKENHUIS ZEVENAAR",GELRE ZIEKENHUIZEN (ZUTPHEN),CANISIUS WILHELMINA ZIEKENHUIS,ALRIJNE ZIEKENHUIS (SASSENHEIM),ALRIJNE ZIEKENHUIS (KATWIJK),ALRIJNE ZIEKENHUIS (LEIDEN),BRAVIS ZIEKENHUIS (BERGEN OP ZOOM),WILHELMINA ZIEKENHUIS (ASSEN),MEDISCH CENTRUM LEEUWARDEN,VLIETLAND ZIEKENHUIS,HAGA ZIEKENHUIS (REINIER),ADMIRAAL DE RUYTER ZIEKENHUIS,ANTONIUS ZIEKENHUIS (WOERDEN),OMMELANDER ZIEKENHUIS GROEP (LUCAS),ALRIJNE ZIEKENHUIS (LEIDERDORP),PRINSES MAXIMA CENTRUM,ISALA KLINIEKEN (SOPHIA),BERNHOVEN ZIEKENHUIS,UNIVERSITAIR LONGCENTRUM DEKKERSWALD,ST ANTONIUS ZIEKENHUIS (UTRECHT OUDENRIJN),ST JANSDAL ZIEKENHUIS (HARDERWIJK),ST. ANNA ZIEKENHUIS,ZGT (HENGELO),SCHEPER ZIEKENHUIS,STICHTING ZORGSAAM ZIEKENHUIS,DIAKONESSENHUIS (ZEIST),BETHESDA ZIEKENHUIS,TERGOOIZIEKENHUIZEN (BLARICUM),HAGA ZIEKENHUIS (LEYWEG),TERGOOIZIEKENHUIZEN (HILVERSUM),ELISABETH TWEESTEDEN ZIEKENHUIS,ZIEKENHUIS RIVIERENLAND,LAURENTIUS ZIEKENHUIS,ACADEMISCH MEDISCH CENTRUM,AMSTELLAND ZIEKENHUIS,DIJKLANDER ZIEKENHUIS (PURMEREND),CATHARINA ZIEKENHUIS,OMMELANDER ZIEKENHUIS GROEP (GRONINGEN),MEDISCH SPECTRUM TWENTE
ISALA KLINIEKEN (WEEZENLANDEN),00:00:00,01:20:34,01:29:34,01:13:31,02:07:22,02:26:50,01:03:40,01:23:04,01:56:01,01:28:14,01:42:32,01:37:21,01:00:30,01:36:29,01:06:16,01:49:01,00:49:55,01:05:29,00:22:27,02:31:45,01:17:14,01:24:02,01:50:08,02:09:08,01:01:07,01:42:19,01:13:44,02:33:08,01:33:14,01:46:01,02:01:57,01:14:47,01:45:53,01:20:10,00:50:54,01:46:47,01:52:38,01:44:54,01:21:07,01:33:05,01:47:08,01:49:36,01:19:34,01:18:44,01:51:45,01:23:35,01:13:29,01:00:02,01:43:55,01:01:01,00:41:02,00:40:18,01:40:57,01:26:44,00:38:11,01:31:25,00:51:10,01:27:11,00:50:16,01:46:29,01:44:28,02:19:51,01:50:49,01:17:10,01:34:11,00:47:31,0.069444444,01:47:52,01:20:22,01:47:50,01:25:47,00:58:36,00:57:52,01:15:03,01:37:01,01:48:22,01:44:23,02:13:23,00:55:33,01:04:45,01:45:37,01:48:54,02:36:03,01:17:28,01:24:20,01:37:22,01:03:12,00:08:10,01:23:31,01:24:05,01:12:28,00:34:59,01:55:21,00:54:58,01:03:21,02:56:43,01:00:56,00:36:36,00:59:56,01:53:51,01:00:55,01:49:53,01:19:06,02:05:09,01:14:31,01:18:10,01:30:37,01:44:51,01:19:34,01:05:05
TALMA SIONSBERG ZIEKENHUIS,01:22:37,00:00:00,02:03:04,02:24:03,03:13:23,03:37:21,01:42:32,01:55:56,01:35:06,01:13:07,02:53:04,02:30:55,00:30:33,01:58:58,01:56:43,02:43:47,01:44:59,02:01:07,01:04:32,03:42:17,01:54:48,02:23:15,02:44:54,03:03:53,00:47:04,02:20:40,00:46:09,03:43:39,02:22:46,01:51:51,02:52:09,01:20:56,02:40:39,02:30:42,01:58:53,02:41:33,03:03:09,02:39:40,01:58:41,02:08:03,02:33:24,02:55:38,00:51:02,01:53:57,02:38:04,01:48:15,02:08:14,02:10:34,02:22:17,01:58:37,01:51:33,01:54:11,02:35:43,01:32:21,01:28:32,02:26:11,02:01:41,02:37:42,01:25:56,02:29:11,02:39:14,03:14:36,03:01:21,02:27:41,02:32:47,00:45:01,02:34:45,02:35:04,01:57:56,02:42:36,02:20:32,02:09:07,02:08:23,02:25:35,02:15:23,02:26:44,02:22:12,03:08:09,01:01:42,00:28:49,02:38:18,02:35:10,03:30:48,02:12:14,01:14:35,02:15:44,02:00:48,01:20:36,02:34:03,02:34:36,02:05:12,01:42:23,03:01:23,01:54:11,01:18:02,03:51:28,02:06:37,01:03:59,01:49:20,02:39:55,01:49:57,02:50:16,02:27:19,03:15:41,01:52:10,01:55:48,01:48:01,02:55:22,01:09:49,02:04:18
SPAARNE GASTHUIS (HAARLEM),01:28:54,02:04:28,00:00:00,01:40:57,01:50:30,02:19:20,00:39:45,00:19:27,01:08:31,02:34:55,01:29:51,00:40:51,01:46:14,00:16:59,00:47:04,00:57:16,01:47:07,00:44:43,01:40:58,02:24:15,00:23:19,02:00:37,01:22:11,01:31:15,01:30:49,00:30:36,02:03:09,02:25:38,00:32:42,00:30:02,01:01:53,02:33:18,01:17:56,01:34:57,00:48:40,01:02:26,01:40:09,01:09:22,00:16:48,00:13:21,00:43:08,01:32:44,02:11:44,00:21:51,0.033333333,00:22:27,00:42:16,01:04:51,00:32:13,00:44:55,01:12:45,01:25:55,01:01:27,00:38:33,01:56:43,00:54:07,01:18:38,01:41:57,00:51:01,00:39:07,01:04:06,01:22:18,02:05:35,01:32:40,01:09:53,01:34:25,00:51:32,00:45:00,00:17:28,00:59:24,00:57:50,01:26:02,01:35:08,01:29:49,00:25:18,00:36:40,00:32:08,01:29:28,02:14:04,01:45:38,00:48:02,00:44:54,01:52:07,00:42:59,02:31:35,00:25:40,00:47:06,01:29:44,01:22:21,01:40:03,00:33:02,01:03:17,01:38:29,01:47:19,02:21:52,02:15:09,00:52:46,01:55:07,00:34:47,00:49:51,00:40:30,01:27:22,01:04:25,02:09:33,00:21:46,00:17:02,0.022916667,01:32:01,02:26:49,01:57:26
SLINGELAND ZIEKENHUIS,01:11:18,02:22:33,01:39:47,00:00:00,01:49:54,02:09:13,01:32:50,01:35:34,02:38:48,02:28:44,01:25:05,01:36:17,02:02:30,01:46:43,01:13:09,01:47:56,01:00:19,01:08:45,01:22:56,02:14:08,01:32:08,00:38:05,01:47:10,02:06:10,01:53:22,0.074305556,02:11:42,02:15:31,01:32:09,01:59:46,01:57:57,02:06:37,01:42:56,00:54:30,01:04:47,01:42:48,01:35:10,01:40:55,01:33:37,01:44:11,01:46:03,01:32:09,02:17:32,01:35:54,01:50:40,01:40:45,01:12:30,00:42:34,0.075694444,01:07:16,00:45:09,00:49:17,01:39:53,01:56:51,01:22:27,01:30:20,00:33:19,01:04:17,01:32:12,01:45:25,01:40:29,02:15:52,01:33:12,00:50:38,01:16:43,0.075,01:38:55,01:46:47,01:32:51,01:43:51,01:21:48,00:22:13,00:26:05,00:57:35,01:48:06,01:56:32,01:46:16,02:10:26,01:53:31,02:05:14,01:44:32,01:47:49,02:33:05,01:16:23,02:24:50,01:39:13,01:09:27,01:12:07,01:06:04,00:57:33,01:11:23,01:16:37,01:37:54,00:58:25,01:52:17,02:53:45,01:05:18,01:34:34,01:17:05,01:52:46,01:16:29,01:32:25,01:01:38,01:47:32,01:25:19,01:28:23,01:47:47,01:27:23,02:20:03,00:58:37
ST. JANS GASTHUIS,02:04:00,03:11:19,01:49:54,01:47:55,00:00:00,00:39:01,01:49:22,01:45:41,02:48:22,03:21:26,00:31:19,01:46:53,02:51:16,01:56:49,01:25:51,01:42:55,02:10:50,01:21:56,02:15:39,00:43:56,01:42:14,02:08:41,01:06:55,01:24:14,02:42:08,01:57:36,03:08:11,00:45:19,01:42:46,02:09:52,01:48:33,03:07:59,01:02:41,01:18:26,01:29:33,01:33:23,00:34:19,01:22:15,01:43:43,01:54:18,01:47:35,00:29:28,03:12:45,01:47:08,02:01:17,01:51:58,01:16:17,01:26:53,01:59:36,01:19:58,01:37:51,01:49:38,01:38:15,02:08:05,02:31:23,01:40:57,01:25:35,01:01:15,01:56:03,01:56:01,01:27:13,01:51:59,00:43:35,01:23:23,00:51:50,02:39:27,01:39:05,01:57:24,01:42:58,01:34:27,01:15:50,0.064583333,01:49:35,01:12:34,01:58:13,02:07:09,01:56:53,01:28:48,02:48:44,02:56:02,01:42:11,01:49:22,01:49:09,0.060416667,03:17:31,01:49:49,01:22:10,02:04:50,00:48:10,01:20:28,01:21:33,01:49:43,00:26:36,02:11:01,02:56:32,01:56:05,01:27:50,02:29:47,01:34:05,02:00:08,01:29:11,00:46:19,01:11:31,00:28:26,01:35:25,01:38:30,01:59:01,00:36:01,03:12:45,02:21:08
ZUYDERLAND MEDISCH CENTRUM (SITTARD),02:23:38,03:34:54,02:18:01,02:07:33,00:37:25,00:00:00,02:17:29,02:13:47,03:16:29,03:41:04,00:59:26,02:15:00,03:14:50,02:24:56,01:53:58,02:11:02,02:30:28,01:50:03,02:35:17,00:23:09,02:10:21,02:20:26,01:35:02,01:52:21,03:05:43,02:25:43,03:26:34,00:21:41,02:10:53,02:37:59,02:16:39,03:27:37,01:30:47,01:26:44,01:57:40,02:01:30,01:01:19,01:50:22,02:11:50,02:22:24,02:15:42,00:57:35,03:32:23,02:15:15,02:29:24,02:20:05,01:44:24,01:46:32,02:27:43,01:48:05,01:57:29,02:09:16,02:06:21,02:36:12,02:51:01,02:09:04,01:45:14,01:09:34,02:24:10,02:24:08,01:55:20,02:17:39,00:44:28,01:31:42,01:19:56,03:00:21,02:07:11,02:25:30,02:11:05,02:02:33,01:43:56,01:52:38,02:09:13,01:23:21,02:26:20,02:35:16,0.100694444,01:43:15,03:08:23,03:17:35,02:10:18,02:17:28,01:56:37,01:55:07,03:33:12,02:17:56,01:50:16,02:24:28,01:16:16,01:28:47,01:49:40,02:17:50,00:54:42,02:30:39,03:11:35,02:03:33,01:55:57,02:49:26,02:02:11,02:28:14,01:57:18,01:14:26,01:39:38,00:31:49,02:03:32,02:06:36,02:27:07,01:04:08,03:32:23,02:30:56
FLEVO ZIEKENHUIS,01:05:04,01:43:27,00:41:59,01:29:42,01:51:38,02:20:28,00:00:00,00:35:30,01:34:04,02:12:04,01:30:59,01:04:59,01:23:23,00:48:55,00:34:58,01:22:01,01:35:35,00:39:22,01:16:43,02:25:23,00:29:39,01:49:22,01:23:08,01:42:08,01:14:15,00:54:44,01:40:18,02:26:46,00:56:50,00:58:26,01:26:01,02:09:02,01:18:53,01:27:38,00:37:08,01:19:47,01:41:18,01:17:54,00:33:32,00:45:31,01:07:16,01:33:52,01:48:53,00:31:10,01:12:07,00:36:00,00:46:29,00:53:36,00:56:20,00:36:51,01:01:13,01:14:23,01:13:57,00:52:07,01:32:27,01:04:25,01:07:23,01:34:38,00:28:10,01:03:15,01:17:28,01:46:25,01:58:16,01:24:37,01:11:01,01:11:34,0.050694444,01:09:08,00:32:47,01:20:51,00:58:47,01:14:47,01:23:36,01:22:30,00:49:26,01:00:48,00:56:16,01:46:23,01:49:48,01:28:09,01:12:10,01:09:02,02:09:03,00:49:57,02:08:44,00:49:48,00:39:03,01:05:54,01:23:29,01:31:32,00:39:59,00:39:31,01:39:38,01:35:47,01:57:36,02:29:43,00:44:52,01:30:51,00:25:22,01:13:59,00:28:11,01:28:30,01:05:33,02:10:41,00:26:57,00:30:35,00:43:03,01:33:09,02:03:58,01:45:54
OLVG WEST,01:22:41,01:56:49,00:18:42,01:35:00,01:46:00,02:14:50,00:33:31,00:00:00,01:12:51,02:28:41,01:25:21,00:42:22,01:40:00,00:25:37,00:41:03,00:58:47,01:40:53,00:40:13,01:34:19,02:19:45,00:17:06,01:54:40,01:17:42,01:32:46,01:23:10,00:32:07,01:56:55,02:21:08,00:34:13,00:38:40,01:03:24,02:26:39,01:13:27,01:30:27,00:42:26,01:03:57,01:35:40,01:12:28,00:09:16,00:22:54,00:44:39,01:28:14,02:05:30,00:14:18,00:49:31,00:14:47,00:37:47,00:58:55,00:33:44,00:40:25,01:06:31,01:19:41,01:02:58,00:30:54,01:50:29,00:55:38,01:12:41,01:37:27,00:44:47,00:40:38,01:05:37,01:23:49,02:01:06,01:28:11,01:05:23,01:28:11,00:53:03,00:46:31,00:11:14,01:00:55,00:53:20,01:20:05,01:28:54,01:25:20,00:26:49,00:38:11,00:33:39,01:30:59,02:07:25,01:37:59,00:49:33,00:46:25,01:53:38,00:38:30,02:25:21,00:27:11,00:42:36,01:23:30,01:17:52,01:35:34,00:28:32,00:57:03,01:34:00,01:41:05,02:15:13,02:16:40,00:48:17,01:48:53,00:28:33,00:51:22,00:34:16,01:22:52,00:59:55,02:05:03,00:16:01,00:16:15,00:25:20,01:27:31,02:20:35,01:51:12
NOORDWEST ZIEKENHUISGROEP (DEN HELDER),01:57:09,01:37:09,01:08:45,02:35:26,02:49:26,03:18:16,01:33:57,01:13:17,00:00:00,02:19:22,02:28:47,01:39:47,01:32:00,00:59:04,01:41:29,01:56:12,02:34:28,01:45:53,01:40:47,03:23:11,01:20:01,02:55:06,02:21:07,02:30:11,01:03:30,01:29:32,01:47:36,03:24:34,01:31:38,00:48:20,02:00:49,02:22:23,02:16:52,02:33:22,01:42:52,02:01:22,02:39:05,02:08:18,01:16:02,01:13:43,01:42:04,02:31:40,01:56:11,01:11:18,01:46:56,01:05:36,01:41:12,01:59:20,01:31:09,01:43:22,02:06:57,02:20:07,02:00:23,00:49:42,02:18:02,01:53:03,02:13:07,02:40:22,01:24:52,01:38:03,02:03:02,02:21:14,03:04:01,02:30:21,02:08:49,01:20:24,01:50:28,01:43:56,01:16:24,01:58:20,01:56:46,02:20:31,02:29:20,02:28:14,01:24:14,01:35:36,01:31:04,02:28:24,02:03:09,01:18:19,01:46:58,01:43:50,02:51:03,01:41:55,02:16:02,01:24:36,01:45:33,01:56:51,02:21:17,02:37:16,01:31:58,01:48:19,02:37:25,02:41:31,02:19:29,03:14:05,01:51:23,01:59:14,01:28:59,01:48:47,01:34:42,02:26:18,02:03:21,03:08:29,01:20:42,01:15:58,01:05:22,02:30:57,02:11:16,02:51:38
OMMELANDER ZIEKENHUIS GROEP (DELFZICHT),01:31:13,01:14:23,02:37:15,02:29:02,03:26:27,03:45:55,02:12:35,02:30:42,02:19:36,00:00:00,03:01:37,02:56:26,01:02:03,02:43:28,02:25:21,03:08:06,01:38:17,02:24:34,01:12:44,03:50:50,02:24:51,02:16:33,03:09:13,03:28:13,01:26:53,02:49:56,00:39:25,03:52:13,02:52:02,02:36:21,03:21:01,00:37:02,03:04:58,02:39:15,02:09:59,03:05:52,03:11:43,03:03:59,02:28:44,02:40:43,03:02:28,03:08:41,00:35:40,02:26:22,03:07:19,02:32:45,02:32:34,02:19:07,02:51:32,02:20:06,02:00:07,01:52:23,03:00:02,02:16:51,01:12:20,02:50:30,02:10:15,02:46:16,01:55:59,02:58:27,03:03:33,03:38:56,03:09:54,02:36:15,02:53:16,01:15:03,02:59:05,03:04:20,02:27:59,03:06:55,02:44:52,02:17:41,02:16:05,02:34:08,02:44:42,0.122222222,02:51:28,03:32:28,00:46:09,01:14:14,03:04:42,03:04:14,03:55:08,02:36:33,00:28:05,0.114583333,02:22:17,01:29:12,02:42:36,02:43:10,02:31:33,01:54:04,03:14:26,01:47:30,01:01:41,04:15:48,02:20:01,01:02:11,02:19:23,03:09:11,0.097222222,03:08:58,02:38:11,03:24:14,02:22:12,02:25:51,02:32:31,03:03:56,00:22:16,01:57:26
