,fc_id,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly,turn_full_sq,turn_part_sq
fc_id,1.0,-0.13086649843867446,-0.08652151505972118,-0.12773782454534283,0.11525769332523073,0.005249497936859284,-0.10782688305285192,-0.015783181760557912,-0.007631148409257185,-0.05266733662614825,-0.08785126937229548,0.11385754292223958,-0.154537086664539,-0.04409814505194467,-0.07599300563957062,-0.07164973601990315,0.02705711213646462,0.03708925312195715,-0.03602715207862005,0.026350882324779702,0.04001018667861863,0.012548840767685846,-0.07796774020088007,-0.1132932597074111,0.09473300801880224,-0.09402137843648806,-0.05884171915476361,-0.08780251225058491,-0.08798204874081464,-0.049449157442458376,-0.013027179509309025,-0.09352580871939942,-0.06951525044551092,-0.10323524326361033,-0.08022244192021222,-0.08998047055143091,-0.08815547333690246
turn_full_last_month,-0.13086649843867446,1.0,0.6195510940855425,0.9615388180698511,0.192269720549146,0.04307374622747525,-0.018392300648317657,0.07380838105400175,-0.03210650347650718,-0.02827029959259304,0.0744739332015143,-0.05223323765108253,0.02246396898670213,-0.02678635137733917,-0.02863736032643816,-0.09198677403806396,-0.008548669870606932,-0.024753897385206117,-0.0038811736671583563,-0.010277145052949467,-0.03006888767461493,0.07304377485563142,0.1439776544886964,-0.07421186712175065,-0.027552345290059115,-0.07089848501779333,-0.023705023092110887,0.002883467858007192,0.002867858617382135,-0.007076681185102534,0.046526196789457026,-0.08234354709271481,-0.08213466522845114,-0.02229263030490811,-0.02731221841541657,0.8722475347461082,0.48207477880515465
turn_part_last_month,-0.08652151505972118,0.6195510940855425,1.0,0.8113256569678656,0.1933560107346674,-0.05422742500756891,-0.02124832026545425,0.0033427363948676575,0.0408493656954881,-0.017384435452580976,0.013778415283662034,0.01150901253421846,0.07155038786872808,-0.037487535061712984,-0.0415372862975319,-0.09310593500614392,0.008348725518367258,0.010475968168681841,0.018801370010928062,-0.020399282258007044,-0.008093717714437544,0.04761339622045706,0.043162953405999994,-0.05607282624134358,-0.0025396401334022347,-0.0459600059258174,-0.03352746224330374,-0.0015345415066358233,-0.0015080450011398189,-0.02067575858944175,-0.004395349314860328,-0.08017263852180795,-0.07276252273632336,-0.03426330654011515,-0.04037278353146325,0.45711251097527295,0.9116953040818069
turn_sum_last_month,-0.12773782454534283,0.9615388180698511,0.8113256569678656,1.0,0.21085087539235225,0.013104011171953868,-0.02113275966392471,0.056138303446225425,-0.008622861483437574,-0.027096031445804233,0.060285586861983646,-0.034873393894980266,0.041766642758231935,-0.033066577220951125,-0.035862186241926,-0.10108623391030117,-0.003445246803426492,-0.014769696383772587,0.0036884119598894756,-0.014791923542682515,-0.025225860627636713,0.07105989363064225,0.12233045759035775,-0.07488992082038648,-0.021408208656815884,-0.06888364552208498,-0.029386070597690186,0.0016104949750115124,0.0016081415895048202,-0.012505128895633693,0.03311227535770024,-0.08937889014576578,-0.08663040497460354,-0.028591678227504656,-0.03446781120424186,0.8095555372527524,0.678041222058445
boxes_per_hr,0.11525769332523073,0.192269720549146,0.1933560107346674,0.21085087539235225,1.0,0.2031038657288786,-0.041778819063684684,-0.16372778992623466,-0.1646486324474113,-0.07660425385850066,-0.36936323644593866,-0.29602124821260734,-0.03152440564585161,0.16513332971162198,0.1948373147957708,0.06683941591050566,-0.24642928797624794,-0.27869823651619474,-0.23653087842748724,-0.1739649799151255,-0.2822235860584777,-0.35016220136439874,-0.22136993130453617,0.23256460224507092,-0.12863316453210286,0.20638489530199525,0.20687247236935136,-0.04276711912587633,-0.04273892134849617,-0.20418920889638467,0.04590098274560875,0.08981328887734483,0.03934899990011627,0.22234989380801531,0.23748794473953364,0.1248143078973295,0.12351032683512003
bph_actual_minus_fcast,0.005249497936859284,0.04307374622747525,-0.05422742500756891,0.013104011171953868,0.2031038657288786,1.0,-0.005393776409346883,-0.012464622360684305,-0.413896948887521,-0.029525628259268164,0.5824072764491566,-0.328835166704202,-0.5898408843136126,-0.091909767684183,-0.10161259419769857,-0.11630594452579654,0.007983194726739994,-0.019487203328668753,-0.21225082834591213,-0.005438906700874954,-0.2979656605108633,-0.27866284111847867,-0.05743777875319852,-0.05430997736951477,-0.14916154172014207,-0.07070238561400934,-0.09081565911796041,-0.09965184654267505,-0.09971479025742519,-0.22637540528114533,-0.0136503123511113,-0.11591644557266657,-0.15050220039496018,-0.08091646622906472,-0.07784486448728196,0.021564659699618564,-0.04818290429923354
cargo_loss,-0.10782688305285192,-0.018392300648317657,-0.02124832026545425,-0.02113275966392471,-0.041778819063684684,-0.005393776409346883,1.0,-0.0011741579612969209,-0.03415107927614587,0.0009819791547515855,0.03305911706753533,-0.02158228075378452,-3.271037706283027e-05,-0.04727971057308498,-0.0484956618894801,-0.04919365520157702,-0.00017253242134381702,-0.0009146927188222355,-0.009446852729477356,-0.0018335407079333522,-0.027032352961306533,-0.015510641524804991,0.0007356430553976473,-0.038070595445028554,-0.012877345294600547,-0.03827175341420325,-0.04824592181250617,-0.022887456318669917,-0.02287742476620322,-0.009589212555139988,-0.002161064722254573,-0.04846923947207086,-0.0493875723511982,-0.04627978374326921,-0.04815577980292765,-0.01310270892487378,-0.01321834265412607
damages_per_sales,-0.015783181760557912,0.07380838105400175,0.0033427363948676575,0.056138303446225425,-0.16372778992623466,-0.012464622360684305,-0.0011741579612969209,1.0,-0.03102748175071995,-0.003962455589387297,0.020302762294269968,-0.021985969325018683,-0.034021719141334984,0.006665368145509329,0.04056724377727063,-0.012953932458379076,0.4025596947227183,0.2943136379331527,0.024202710623523728,0.14537365666136223,0.0035170612560602266,0.2855878572330904,0.39109956066100937,-0.00925500214065116,0.023204270437111187,-0.012784438668359679,0.002215390504380675,0.04446024334320376,0.044476582492799524,0.029636843078390283,0.7503421585222237,-0.002729215610023505,-0.008417539020036195,0.011381713376289373,0.00271623537202645,0.08329280904720159,-0.007976657080177186
fcast_cargo_loss,-0.007631148409257185,-0.03210650347650718,0.0408493656954881,-0.008622861483437574,-0.1646486324474113,-0.413896948887521,-0.03415107927614587,-0.03102748175071995,1.0,0.10822774800634673,-0.3072238184569812,0.4334978941865604,0.4792401589380517,0.4075853801605453,0.41268904618184576,0.48917180287952244,-0.10188238947991897,-0.10171427960855232,0.21253874799119585,0.0043945140160663206,0.5332970163351872,0.4594693791749532,0.13227937348143606,0.3314327110354993,0.2785783430039514,0.3400135216411272,0.41827702099299613,0.13135855171727862,0.13130144208024194,0.19789579736499976,0.019599881784165506,0.444083816924492,0.49550047729279467,0.3965706019610873,0.4098616065369927,-0.03621020169766152,-0.01912007625941447
fcast_damages_per_sales,-0.05266733662614825,-0.02827029959259304,-0.017384435452580976,-0.027096031445804233,-0.07660425385850066,-0.029525628259268164,0.0009819791547515855,-0.003962455589387297,0.10822774800634673,1.0,0.019171573803331975,0.17524256939103247,0.04447341744753147,0.03844754136274659,0.03232267164593572,0.055075075401353014,-0.005347363081980874,-0.009264816543566673,0.1182565165012459,-0.003856935876660238,0.2694015732532491,0.15853114843232402,0.05215660939407278,0.026218108895083043,0.2353182619424922,0.035380160972946814,0.040062114736526565,0.028799478658798592,0.028793741081490815,0.09770407969547847,0.0023870197505713345,0.05127856917252188,0.0775677600259964,0.04602698040480917,0.038225385719905684,-0.02003263838837579,-0.011678701050226557
