"fc_id","we_date","boxes_per_hr","bph_actual_minus_fcast","cargo_loss","damages_per_sales","fcast_cargo_loss","fcast_damages_per_sales","fcast_labor_per_sales","fcast_ot_hrs_pct_tot_prod_hrs","fcast_prod_avg_wage","fcast_receiving_cartons","fcast_vol_boxes_wkly","ft_headcount_wkly","labor_per_box","labor_per_sales","leave_behinds","missing_wrong","ot_hrs","ot_hrs_pct_tot_prod_hrs","prod_avg_wage","pt_headcount_wkly","pt_ot_hrs","pt_tot_hrs","receiving_cartons","temp_headcount_wkly","temp_hrs","temp_ot_hrs","tot_damages","tot_headcount_wkly","tot_prod_hrs","tot_sales","vol_boxes_wkly"
"4580",15010,20.0397,-1.2636,NA,0.0026,NA,0.0016,0.0094,0.02,13.5522,136812.4968,171144.6351,187,0.6659,0.0098,0,0.0035,90.28,0.0155,13.3192,26,0,437.08,131677,0,0,0,20755.979,213,5806.48,7899214.1181,116360
"4580",15017,21.1017,0.16,NA,0.0018,NA,0.0016,0.0095,0.02,13.5522,131764.4569,156389.8363,187,0.6469,0.0098,0,0.0041,539.85,0.0719,13.6081,27,3.16,585.81,154850,0,0,0,19206.551,214,7512.28,10415519.0061,158522
"4580",15024,22.6161,1.2338,NA,0.0024,NA,0.0017,0.0093,0.02,13.5522,107145.8481,156372.5178,173,0.6023,0.0098,0,0.0037,478.74,0.066,13.6225,24,0.37,553.47,138149,0,0,0,24661.56,197,7249.16,10106532.408,163948
"4580",15031,21.4037,0.3004,NA,0.0021,NA,0.0017,0.0096,0.02,13.5522,97783.8802,142475.9948,176,0.631,0.0097,0,0.0045,277.26,0.04,13.5054,27,0.67,482.61,118688,0,0,0,20212.439,203,6939.51,9708674.3858,148531
"4580",15038,21.1063,-0.6185,NA,0.0021,NA,0.0017,0.0094,0.02,13.5522,127350.5896,173552.1596,182,0.6402,0.0099,0,0.0039,230.83,0.0315,13.4785,26,0.1,595.02,132556,0,0,0,20573.48,208,7319.95,10034822.9715,154497
"4580",15045,22.3725,1.0351,NA,0.0014,NA,0.0017,0.0095,0.02,13.5522,136000.024,165259.7407,172,0.6063,0.0094,2e-04,0.0042,382.07,0.0547,13.5638,26,3.94,560.69,132106,0,0,0,14199.207,198,6985.31,10066168.2909,156279
"4580",15052,20.5253,-0.3483,NA,0.0018,NA,0.0017,0.0097,0.02,13.5522,155268.8292,160888.4544,172,0.677,0.0101,0,0.0036,371.58,0.0534,13.8514,26,1.3,591.62,148216,0,0,0,17090.232,198,6955.04,9557286.3465,142754
"4580",15059,21.0029,-0.1592,NA,0.0022,NA,0.0017,0.0097,0.02,13.5522,139361.5667,161464.5015,174,0.6566,0.01,0,0.0033,160.43,0.0236,13.79,24,0,495.1,143376,0,0,0,20590.6,198,6789.54,9325315.0925,142600
"4580",15066,21.6285,0.4578,NA,0.0023,NA,0.0017,0.0097,0.02,13.5522,115758.4764,148911.0734,176,0.6073,0.009,0,0.0044,238.18,0.0351,13.134,24,0,509.58,130735,0,0,0,23109.418,200,6792.38,9944582.9109,146909
"4580",15073,20.9609,-0.7183,NA,0.002,NA,0.0017,0.0093,0.02,13.5522,131726.7988,148837.8751,176,0.6542,0.0095,0,0.004,417.07,0.0577,13.7116,24,0,552.94,177800,0,0,0,20729.644,200,7234.08,10441247.693,151633
