,fc_id,year_month,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly
0,6367,2017-01,1.0,0.0,1.0,15.417475000000001,-0.816675,0.0005750000000000001,0.00235,0.0008,0.0028250000000000003,0.0197,0.022949999999999998,16.59905,4055.1578,4564.88035,5.75,1.19305,0.0246,0.0,0.0037749999999999997,11.677500000000002,0.0442,17.3135,3.0,0.0,56.685,2656.0,0.0,0.0,0.0,464.04224999999997,8.75,260.83000000000004,195487.205325,4021.5
1,6710,2017-01,0.0,0.0,0.0,18.325825000000002,-3.4365249999999996,0.000875,0.001675,0.0011,0.00115,0.0159,0.024,18.3347,109218.646625,160515.04119999998,135.25,0.909125,0.017125,0.0,0.003375,261.475,0.02985,16.617225,55.75,0.0,1377.3075,109371.0,85.25,2136.5025,55.935,13859.602749999998,276.25,8498.61,8275513.2217500005,155601.25
2,6818,2017-01,2.0,2.0,4.0,17.232750000000003,-6.448725,0.000875,0.0024500000000000004,0.0017,0.001525,0.011725,0.03,15.274799999999999,140647.36782500002,216055.28665,251.0,1.087275,0.020075,0.000275,0.004024999999999999,452.495,0.040425,18.693525,59.0,0.0,1392.6299999999999,148450.5,13.0,325.75,0.0,24735.5775,323.0,10849.7375,10174904.798774999,186850.0
3,6913,2017-01,4.0,6.0,10.0,16.778075,-1.949925,0.001475,0.004775,0.0017,0.0021249999999999997,0.0165,0.05,17.611150000000002,135382.58855,156890.980025,203.5,1.02695,0.018825,0.00125,0.004849999999999999,862.1325,0.07957499999999999,17.13995,44.0,12.200000000000001,1184.7925,167522.75,36.75,919.675,2.0025,44474.71725,284.25,10222.9925,9326054.193725001,170848.75
4,6920,2017-01,4.0,0.0,4.0,24.8674,1.228475,0.0011,0.0036249999999999998,0.0013,0.003075,0.012074999999999999,0.0525,17.0825,167999.29325,234251.17322500004,184.75,0.6673749999999999,0.0116,0.000425,0.00245,164.60000000000002,0.017375,16.547800000000002,59.5,0.375,1369.7575000000002,155655.0,50.75,1273.625,10.54,48445.21975,295.0,9251.677500000002,13259593.793925,229983.75
6,6926,2017-01,8.0,5.0,13.0,17.1374,-2.4655249999999995,0.0009499999999999999,0.002625,0.0008,0.0027,0.01885,0.05,15.818425,33438.877974999996,49543.83885,42.5,1.0729250000000001,0.024550000000000002,0.0,0.0021,32.44,0.0134,18.1341,4.25,0.0,81.69,26903.25,26.5,665.1325,3.705,4464.9307499999995,73.25,2297.0825000000004,1717719.93045,39316.5
8,6932,2017-01,7.0,3.0,10.0,17.8902,-1.8280249999999998,0.000975,0.002475,0.0013,0.002075,0.016275,0.036250000000000004,14.994399999999999,49530.840299999996,76113.6595,81.25,0.8244,0.0173,0.00030000000000000003,0.0048000000000000004,448.15,0.10795000000000002,14.735125,8.5,15.46,224.32999999999998,54251.0,22.25,554.9425,14.5,8568.19675,112.0,4055.5825000000004,3457065.6733,72490.25
9,6954,2017-01,3.0,1.0,4.0,17.5101,-2.4663000000000004,0.00115,0.002325,0.0017,0.0015249999999999999,0.014825,0.04,15.255200000000002,97997.13105,144376.896375,160.25,0.9313,0.017750000000000002,0.00015000000000000001,0.004175,342.37750000000005,0.044925,16.206075,37.0,0.0,878.655,107874.25,12.5,312.5625,2.5999999999999996,15808.582749999998,209.75,7453.1449999999995,6835357.762375,130261.5
10,6986,2017-01,7.0,3.0,10.0,20.156275,-3.2123999999999997,0.0017749999999999999,0.002975,0.0012,0.0027500000000000003,0.013175000000000001,0.055,16.940624999999997,98981.40272499999,149153.7845,140.5,0.9185000000000001,0.015725,0.0,0.0031750000000000003,301.825825,0.04705,18.44455,47.25,19.775,1294.8799999999999,109425.5,5.25,128.083325,3.595825,22492.52925,193.0,6418.404175,7573277.83595,129377.25
11,7043,2017-01,2.0,2.0,4.0,16.67485,-3.116525,0.004775,0.002575,0.0012,0.00245,0.014974999999999999,0.03375,16.063399999999998,77700.93415000002,96887.20795,100.75,1.00015,0.01795,0.00017500000000000003,0.003925,257.9225,0.04955,16.67075,25.0,0.2875,496.82000000000005,69642.75,33.75,847.81,7.85,12169.010749999998,159.5,5169.9075,4811819.2248,86173.25
