Name,Tweets,Hashtags,URLs,Mentions,Unique_Users,Average_Sentiment,Buyrate
UFC130,25852,13401,8873,20251,17408,0.069936562,325000.00
UFC131,42186,21706,13175,30310,28655,0.063623003,330000.00
UFC132,148364,53752,42845,94731,113426,0.054083201,350000.00
UFC133,154692,54787,43372,99233,119118,0.057300959,310000.00
UFC134,110457,36068,32643,68602,87708,0.053849009,335000.00
UFC135,236535,86030,63267,148255,176892,0.066446826,520000.00
UFC136,87332,33031,25081,58292,68385,0.072058352,225000.00
UFC137,25821,10814,7808,15438,21285,0.062894543,280000.00
UFC139,86689,33350,21131,53223,67785,0.086423883,290000.00
UFC141,98166,40851,22608,61211,75666,0.079406312,750000.00
