State	Democrat	Republican	EC_Votes
AL	1176394	693933	9
AK	190889	111025	3
AZ	1104294	893524	10
AR	572898	469953	6
CA	5509826	6745485	55
CO	1101255	1001732	9
CT	693826	857488	7
DE	171660	200152	3
DC	21256	202970	3
FL	3964522	3583544	27
GA	1914254	1366149	15
HI	194191	231708	4
ID	409235	181098	4
IL	2345946	2891550	21
IN	1479438	969011	11
IA	751957	741898	7
KS	736456	434993	6
KY	1069439	712733	8
LA	1102169	820299	9
ME	330201	396842	4
MD	1024703	1334493	10
MA	1071109	1803800	12
MI	2313746	2479183	17
MN	1346695	1445014	10
MS	684981	458094	6
MO	1455713	1259171	11
MT	266063	173710	3
NE	512814	254328	5
NV	418690	397190	5
NH	331237	340511	4
NJ	1670003	1911430	15
NM	376930	370942	5
NY	2962567	4314280	31
NC	1961166	1525849	15
ND	196651	111052	3
OH	2859768	2741167	20
OK	959792	503966	7
OR	866831	943163	7
PA	2793847	2938095	21
RI	169046	259765	4
SC	937974	661699	8
SD	232584	149244	3
TN	1384375	1036477	11
TX	4526917	2832704	34
UT	663742	241199	5
VT	121180	184067	3
VA	1716959	1454742	13
WA	1304894	1510201	11
WV	423778	326541	5
WI	1478120	1489504	10
WY	167629	70776	3
