Column1,Column2,Column3,Column4
1,98,2,0
2,98,2,0
3,98,1,1
4,97,2,1
5,96,3,1
6,96,3,1
7,96,3,1
8,96,1,3
9,95,2,3
10,94,2,4
11,94,2,4
12,94,2,4
13,94,2,4
14,94,2,4
15,94,2,4
16,92,4,4
17,92,4,4
18,88,7,5
19,86,8,6
20,82,11,7
21,77,13,10
22,73,15,12
23,71,15,14
24,66,16,18
25,62,14,24
26,61,7,32
27,58,10,32
28,49,14,37
29,38,19,43
30,32,21,47
31,27,22,51
32,24,18,58
33,23,13,64
34,20,12,68
35,19,12,69
36,17,11,72
37,17,9,74
38,17,8,75
39,14,9,77
40,12,9,79
41,11,6,83
42,11,5,84
43,9,4,87
44,5,5,90
45,5,3,92
46,4,2,94
47,4,1,95
48,2,1,97
49,2,1,97
50,2,0,98
51,2,0,98
52,2,0,98
53,2,0,98
54,2,0,98
55,2,0,98
56,2,0,98
57,2,0,98
58,2,0,98
59,2,0,98
60,2,0,98
61,2,0,98
62,2,0,98
63,2,0,98
64,2,0,98
65,2,0,98
66,2,0,98
67,2,0,98
68,2,0,98
69,2,0,98
70,2,0,98
71,2,0,98
72,2,0,98
73,2,0,98
74,2,0,98
75,2,0,98
76,2,0,98
77,2,0,98
78,2,0,98
79,2,0,98
80,2,0,98
81,2,0,98
82,2,0,98
83,2,0,98
84,2,0,98
85,2,0,98
86,2,0,98
87,2,0,98
88,2,0,98
89,2,0,98
90,2,0,98
91,2,0,98
92,2,0,98
93,2,0,98
94,2,0,98
95,2,0,98
96,2,0,98
97,2,0,98
98,2,0,98
99,2,0,98
100,2,0,98
